Date,Open,High,Close,Low,Trades,Change,Company
7/17/2025,301.64,304.04,280.81,282.65,66186884,-6.905582814,UNH
7/10/2025,308,308.605,296.6,304.1,52625578,-3.701298701,UNH
7/2/2025,308.995,326.55,306.3401,308.55,52277929,-0.8592048415,UNH
6/26/2025,301.9,310.45,295.52,309.11,51615260,-2.113282544,UNH
6/19/2025,313,313.27,301.5907,302.01,54217464,-3.64514377,UNH
6/12/2025,305.035,318.8,300.59,313.53,67985344,-1.457209828,UNH
6/5/2025,303.12,313.55,294.11,303.22,69352476,-2.972420164,UNH
5/29/2025,299.5,305.64,289.13,301.91,68830523,-3.462437396,UNH
5/22/2025,304.775,324.64,291.64,295.57,193551818,-4.309736691,UNH
5/15/2025,381,387.21,248.88,291.91,303456191,-34.67716535,UNH
10/30/2025,38.805,41.32,38.765,39.74,211489410,-0.1030795001,VZ
10/23/2025,40.7,40.87,38.39,38.82,169119644,-5.675675676,VZ
10/16/2025,39.75,40.655,39.405,40.55,104307655,-0.8679245283,VZ
10/9/2025,43.25,43.38,39.815,39.85,218522402,-7.942196532,VZ
10/2/2025,43.6,44.09,43.09,43.67,99741631,-1.169724771,VZ
9/25/2025,43.38,43.765,42.96,43.61,87934924,-0.9681881051,VZ
9/18/2025,44.05,44.41,43.3,43.48,91293787,-1.70261067,VZ
9/11/2025,42.975,44.15,42.94,43.97,89911255,-0.08144269924,VZ
9/4/2025,44.16,44.48,42.88,44.38,70819488,-2.898550725,VZ
8/28/2025,44.44,44.48,43.69,44.23,76031566,-1.687668767,VZ
8/21/2025,44.35,45.75,44.22,44.44,82608933,-0.2931228861,VZ
8/14/2025,43.23,44.44,42.99,44.24,71548316,-0.5551700208,VZ
8/7/2025,42.8,43.355,42.17,43.15,74906025,-1.471962617,VZ
7/31/2025,43.02,43.47,42.15,42.88,91055497,-2.022315202,VZ
7/24/2025,41.95,43.49,41.68,43.08,131434780,-0.6436233611,VZ
7/17/2025,41.59,41.84,40.69,40.84,88872628,-2.163981726,VZ
7/10/2025,43.7,43.7,41.49,41.62,101828908,-5.057208238,VZ
7/2/2025,42.31,44.03,42.28,43.55,70644383,-0.07090522335,VZ
6/26/2025,41.81,42.73,41.72,42.31,85639871,-0.2152595073,VZ
6/19/2025,42.96,43.105,41.6,41.7,99199724,-3.165735568,VZ
6/12/2025,43.65,44.3999,42.91,43.01,77640273,-1.695303551,VZ
6/5/2025,43.8,44.12,43.03,43.8,61611053,-1.757990868,VZ
5/29/2025,43.28,44.06,42.975,43.96,62187496,-0.7047134935,VZ
5/22/2025,44.08,44.55,42.86,43.32,70348294,-2.7676951,VZ
5/15/2025,43.045,43.99,42.25,43.99,88692784,-1.846904402,VZ
10/30/2025,106.34,106.36,100.18,101.18,75987356,-5.792740267,WMT
10/23/2025,107.85,108.25,105.51,106.17,55503643,-2.169680111,WMT
10/16/2025,101.37,109.575,101.07,107.73,93248740,-0.295945546,WMT
10/9/2025,101.88,103.6291,100.37,101.84,80453951,-1.482135846,WMT
10/2/2025,103.05,103.935,99.87,102.07,72966160,-3.08588064,WMT
9/25/2025,102.45,103.51,101.33,103.16,62638450,-1.093216203,WMT
